word|state|url|audio
blue|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-231911_19.2s-seed12.pt-temp1e-05-top_p0.501-top_k12-len4-12337-merge.wav|blue.wav
boat|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-231930_19.0s-seed12.pt-temp1e-05-top_p0.501-top_k12-len4-15842-merge.wav|boat.wav
body|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-231950_19.6s-seed12.pt-temp1e-05-top_p0.501-top_k12-len4-28404-merge.wav|body.wav
book|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-232009_19.5s-seed12.pt-temp1e-05-top_p0.501-top_k12-len4-95599-merge.wav|book.wav
bored|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-232028_18.9s-seed12.pt-temp1e-05-top_p0.501-top_k12-len5-48047-merge.wav|bored.wav
boring|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-232048_19.1s-seed12.pt-temp1e-05-top_p0.501-top_k12-len6-64358-merge.wav|boring.wav
born|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-232108_19.9s-seed12.pt-temp1e-05-top_p0.501-top_k12-len4-68336-merge.wav|born.wav
borrow|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-232127_18.9s-seed12.pt-temp1e-05-top_p0.501-top_k12-len6-62206-merge.wav|borrow.wav
both|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-232147_20.2s-seed12.pt-temp1e-05-top_p0.501-top_k12-len4-13641-merge.wav|both.wav
bought|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-232206_18.8s-seed12.pt-temp1e-05-top_p0.501-top_k12-len6-08614-merge.wav|bought.wav
box|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-232225_19.2s-seed12.pt-temp1e-05-top_p0.501-top_k12-len3-36377-merge.wav|box.wav
boy|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-232245_19.9s-seed12.pt-temp1e-05-top_p0.501-top_k12-len3-27226-merge.wav|boy.wav
bread|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-232305_19.1s-seed12.pt-temp1e-05-top_p0.501-top_k12-len5-99748-merge.wav|bread.wav
break|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-232324_18.8s-seed12.pt-temp1e-05-top_p0.501-top_k12-len5-12838-merge.wav|break.wav
breakfast|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-232343_19.0s-seed12.pt-temp1e-05-top_p0.501-top_k12-len9-29500-merge.wav|breakfast.wav
